# Constructed from biom file									
OTU_ID	BB	BP01	BP02	BP03	LB	MC1	MC2	N_ctrl	taxa
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae	0.207949873	0.000739098	0.001998858	0.002884469	0.03030303	0	0	0	Rhodanobacteraceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae	0.143332681	0.000554324	0	0.002732655	0	0	0	0	Acetobacteraceae
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1)	0.100841982	0	0	0.000303628	0	0	0	0	Acidobacteriaceae_(Subgroup_1)
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured	0.012531819	0	0	0	0	0	0	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria	0.03563736	0.001108647	0.000856653	0.001973584	0	0	0	0	Mitochondria
d__Bacteria;p__Chloroflexi;c__AD3;o__AD3;f__AD3	0.106716272	0	0	0	0	0	0	0	AD3
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KF-JG30-C25;f__KF-JG30-C25	0.110436656	0	0	0	0	0	0	0	KF-JG30-C25
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256	0.017427061	0	0	0	0	0	0	0	IMCC26256
d__Bacteria;p__RCP2-54;c__RCP2-54;o__RCP2-54;f__RCP2-54	0.009790484	0	0	0	0	0	0	0	RCP2-54
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae	0.067358528	0.000923873	0	0.001366328	0	0	0	0	Gemmataceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae	0.005678481	0	0	0.000759071	0	0	0	0	Legionellaceae
d__Bacteria;p__Nitrospirota;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae	0.021734874	0	0	0	0	0	0	0	Leptospirillaceae
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae	0.087918543	0.000184775	0.000285551	0	0	0	0	0	Isosphaeraceae
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales	0.008419816	0.000184775	0	0.000151814	0	0	0	0	Saccharimonadales
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oxobacteraceae	0.002349716	0	0	0	0	0	0	0	Oxobacteraceae
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast	0.0121402	0.217479675	0.09737293	0.138302717	0	0	0	0	Chloroplast
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family	0.009594674	0.000184775	0	0.000910885	0	0	0	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliales	0.000391619	0	0	0	0	0	0	0	Babeliales
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;__;__	0.0060701	0	0	0	0	0	0	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;__;__
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.000391619	0.008314856	0.010565391	0.003491726	0	0	0.023703011	0	Clostridiaceae
d__Bacteria;p__Firmicutes;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfotomaculales	0.004503622	0	0	0	0	0	0	0	Desulfotomaculales
