file	percent	reads	taxon_id	taxa
BP.kaiju.out	1.800192	1643818	213422	Geobacteraceae
BP.kaiju.out	1.628486	1487027	80864	Comamonadaceae
BP.kaiju.out	1.583068	1445555	563835	Chitinophagaceae
BP.kaiju.out	1.530806	1397832	1471398	Prolixibacteraceae
BP.kaiju.out	1.380772	1260831	49546	Flavobacteriaceae
BP.kaiju.out	1.266927	1156875	292628	Anaerolineaceae
BP.kaiju.out	1.203812	1099243	2008795	Azonexaceae
BP.kaiju.out	0.968022	883935	213119	Desulfobacteraceae
BP.kaiju.out	0.925289	844914	403	Methylococcaceae
BP.kaiju.out	0.853845	779676	189779	Nitrospiraceae
BP.kaiju.out	0.852531	778476	41294	Nitrobacteraceae
BP.kaiju.out	0.841581	768477	2975441	Sphaerotilaceae
BP.kaiju.out	0.665662	607839	41297	Sphingomonadaceae
BP.kaiju.out	0.664458	606740	1198451	Methanoregulaceae
BP.kaiju.out	0.615844	562349	84566	Sphingobacteriaceae
BP.kaiju.out	0.587472	536441	213468	Syntrophaceae
BP.kaiju.out	0.573226	523433	213121	Desulfobulbaceae
BP.kaiju.out	0.570345	520802	32033	Xanthomonadaceae
BP.kaiju.out	0.531849	485650	75787	Rhodocyclaceae
BP.kaiju.out	0.527832	481982	203557	Verrucomicrobiaceae
BP.kaiju.out	0.523672	478183	119060	Burkholderiaceae
BP.kaiju.out	0.443661	405122	31989	Paracoccaceae
BP.kaiju.out	0.407796	372373	135621	Pseudomonadaceae
BP.kaiju.out	0.405581	370350	1524215	Anaeromyxobacteraceae
BP.kaiju.out	0.39015	356260	134623	Opitutaceae
BP.kaiju.out	0.380778	347702	45401	Hyphomicrobiaceae
BP.kaiju.out	0.378428	345556	75682	Oxalobacteraceae
BP.kaiju.out	0.376029	343365	143067	Methanotrichaceae
BP.kaiju.out	0.375929	343274	2691357	Pirellulaceae
BP.kaiju.out	0.372973	340575	126	Planctomycetaceae
BP.kaiju.out	0.358018	326919	513556	Syntrophorhabdaceae
BP.kaiju.out	0.347539	317350	1046	Chromatiaceae
BP.kaiju.out	0.323843	295712	558415	Marinilabiliaceae
BP.kaiju.out	0.302451	276179	2008793	Sterolibacteriaceae
BP.kaiju.out	0.29226	266873	815	Bacteroidaceae
BP.kaiju.out	0.288035	263015	134621	Verrucomicrobia subdivision 3
BP.kaiju.out	0.279239	254983	69277	Phyllobacteriaceae
BP.kaiju.out	0.276513	252494	85015	Nocardioidaceae
BP.kaiju.out	0.272265	248615	2896860	Spirosomaceae
BP.kaiju.out	0.266218	243093	563798	Cyclobacteriaceae
BP.kaiju.out	0.263061	240210	1962910	Bryobacteraceae
BP.kaiju.out	0.250058	228337	2964538	Smithellaceae
BP.kaiju.out	0.239611	218797	1853232	Hymenobacteraceae
BP.kaiju.out	0.237263	216653	433	Acetobacteraceae
BP.kaiju.out	0.235627	215159	1762	Mycobacteriaceae
BP.kaiju.out	0.235587	215123	574976	Holophagaceae
BP.kaiju.out	0.22828	208450	171551	Porphyromonadaceae
BP.kaiju.out	0.219791	200699	186822	Paenibacillaceae
BP.kaiju.out	0.216879	198040	89373	Cytophagaceae
BP.kaiju.out	0.215239	196542	85023	Microbacteriaceae
BP.kaiju.out	0.211649	193264	204434	Acidobacteriaceae
BP.kaiju.out	0.210238	191976	82115	Rhizobiaceae
BP.kaiju.out	0.202031	184482	76892	Caulobacteraceae
BP.kaiju.out	0.190388	173850	2070	Pseudonocardiaceae
BP.kaiju.out	0.187627	171329	2008790	Thiobacillaceae
BP.kaiju.out	0.187477	171192	213421	Desulfuromonadaceae
BP.kaiju.out	0.185318	169220	2772226	Sulfuricellaceae
BP.kaiju.out	0.183192	167279	2691359	Lacipirellulaceae
BP.kaiju.out	0.181749	165961	31979	Clostridiaceae
BP.kaiju.out	0.17692	161552	2062	Streptomycetaceae
BP.kaiju.out	0.176592	161252	2206	Methanosarcinaceae
BP.kaiju.out	0.173387	158326	213465	Syntrophobacteraceae
BP.kaiju.out	0.172903	157884	186817	Bacillaceae
BP.kaiju.out	0.170372	155573	2008794	Zoogloeaceae
BP.kaiju.out	0.169435	154717	2762286	Fulvivirgaceae
BP.kaiju.out	0.162963	148807	49	Polyangiaceae
BP.kaiju.out	0.159077	145259	32011	Methylophilaceae
BP.kaiju.out	0.158311	144559	90627	Gallionellaceae
BP.kaiju.out	0.15549	141983	2886822	Desulfocapsaceae
BP.kaiju.out	0.151121	137994	85021	Intrasporangiaceae
BP.kaiju.out	0.146699	133956	137	Spirochaetaceae
BP.kaiju.out	0.145478	132841	1775411	Rhodanobacteraceae
BP.kaiju.out	0.144889	132303	2689614	Steroidobacteraceae
BP.kaiju.out	0.139816	127671	506	Alcaligenaceae
BP.kaiju.out	0.138009	126021	2845253	Treponemataceae
BP.kaiju.out	0.137361	125429	206379	Nitrosomonadaceae
BP.kaiju.out	0.137128	125216	28056	Micromonosporaceae
BP.kaiju.out	0.135915	124109	41295	Rhodospirillaceae
BP.kaiju.out	0.134046	122402	194924	Desulfovibrionaceae
BP.kaiju.out	0.132974	121423	3031624	Desulfosarcinaceae
BP.kaiju.out	0.12495	114096	335929	Erythrobacteraceae
BP.kaiju.out	0.122602	111952	216572	Oscillospiraceae
BP.kaiju.out	0.120009	109584	31	Myxococcaceae
BP.kaiju.out	0.118597	108295	795749	Ignavibacteriaceae
BP.kaiju.out	0.116913	106757	219687	Gemmatimonadaceae
BP.kaiju.out	0.116034	105955	2005525	Tannerellaceae
BP.kaiju.out	0.115892	105825	119045	Methylobacteriaceae
BP.kaiju.out	0.115552	105515	2762318	Weeksellaceae
BP.kaiju.out	0.115533	105497	332161	Solibacteraceae
BP.kaiju.out	0.114732	104766	1573805	Marinifilaceae
BP.kaiju.out	0.114634	104676	2854170	Roseobacteraceae
BP.kaiju.out	0.114311	104381	2771471	Thiovulaceae
BP.kaiju.out	0.110602	100995	633392	Iamiaceae
BP.kaiju.out	0.109312	99817	1763524	Isosphaeraceae
BP.kaiju.out	0.10806	98673	1914233	Gemmataceae
BP.kaiju.out	0.10667	97404	1706372	Halieaceae
BP.kaiju.out	0.105466	96305	39	Archangiaceae
BP.kaiju.out	0.105309	96161	2005523	Paludibacteraceae
