file	percent	reads	taxon_id	taxon_name
BP.kaiju.out	1.005155	917842	73029	Dechloromonas
BP.kaiju.out	0.727312	664134	1234	Nitrospira
BP.kaiju.out	0.682845	623530	374	Bradyrhizobium
BP.kaiju.out	0.652531	595849	28231	Geobacter
BP.kaiju.out	0.586761	535792	237	Flavobacterium
BP.kaiju.out	0.405581	370350	161492	Anaeromyxobacter
BP.kaiju.out	0.376028	343364	2222	Methanothrix
BP.kaiju.out	0.371241	338993	395331	Methanoregula
BP.kaiju.out	0.360797	329456	286	Pseudomonas
BP.kaiju.out	0.307238	280550	513557	Syntrophorhabdus
BP.kaiju.out	0.303676	277297	13687	Sphingomonas
BP.kaiju.out	0.297757	271892	327159	Candidatus Accumulibacter
BP.kaiju.out	0.270451	246958	2678352	Maribellus
BP.kaiju.out	0.255198	233030	816	Bacteroides
BP.kaiju.out	0.251426	229586	2792393	Aquipluma
BP.kaiju.out	0.250058	228337	182623	Smithella
BP.kaiju.out	0.233616	213323	429	Methylobacter
BP.kaiju.out	0.230848	210795	28067	Rubrivivax
BP.kaiju.out	0.229206	209296	893	Desulfobulbus
BP.kaiju.out	0.221669	202414	84567	Pedobacter
BP.kaiju.out	0.217921	198991	28065	Rhodoferax
BP.kaiju.out	0.216933	198089	43773	Syntrophus
BP.kaiju.out	0.213004	194501	1499082	Sulfurisoma
BP.kaiju.out	0.210981	192654	1839	Nocardioides
BP.kaiju.out	0.209601	191394	212743	Rhizobacter
BP.kaiju.out	0.209476	191280	81	Hyphomicrobium
BP.kaiju.out	0.206220	188307	34072	Variovorax
BP.kaiju.out	0.183387	167457	68287	Mesorhizobium
BP.kaiju.out	0.177573	162148	83766	Propionivibrio
BP.kaiju.out	0.175494	160250	233189	Anaerolinea
BP.kaiju.out	0.171077	156216	919	Thiobacillus
BP.kaiju.out	0.170136	155357	165696	Novosphingobium
BP.kaiju.out	0.169346	154636	1004301	Flavihumibacter
BP.kaiju.out	0.166883	152387	79328	Chitinophaga
BP.kaiju.out	0.164112	149856	44249	Paenibacillus
BP.kaiju.out	0.159668	145798	423349	Mucilaginibacter
BP.kaiju.out	0.153608	140265	2207	Methanosarcina
BP.kaiju.out	0.151744	138563	1649475	Paludibaculum
BP.kaiju.out	0.149833	136818	174951	Ramlibacter
BP.kaiju.out	0.149179	136221	1032526	Pedosphaera
BP.kaiju.out	0.147196	134410	44675	Geothrix
BP.kaiju.out	0.146631	133894	1883	Streptomyces
BP.kaiju.out	0.145054	132454	178440	Opitutus
BP.kaiju.out	0.143927	131425	36862	Ideonella
BP.kaiju.out	0.143764	131276	47420	Hydrogenophaga
BP.kaiju.out	0.140031	127867	52972	Polaromonas
BP.kaiju.out	0.132492	120983	157	Treponema
BP.kaiju.out	0.131502	120079	92793	Aquabacterium
BP.kaiju.out	0.130799	119437	83618	Pseudoxanthomonas
BP.kaiju.out	0.125025	114165	518753	Luteolibacter
BP.kaiju.out	0.124154	113369	416	Methylomonas
BP.kaiju.out	0.120921	110417	1485	Clostridium
BP.kaiju.out	0.117784	107553	935200	Sulfuricella
BP.kaiju.out	0.115785	105727	1471399	Draconibacterium
BP.kaiju.out	0.110985	101344	2136118	Candidatus Sulfopaludibacter
BP.kaiju.out	0.109965	100413	795750	Ignavibacterium
BP.kaiju.out	0.108963	99498	379	Rhizobium
BP.kaiju.out	0.108065	98678	375288	Parabacteroides
BP.kaiju.out	0.105309	96161	346096	Paludibacter
BP.kaiju.out	0.103532	94539	2004797	Luteitalea
BP.kaiju.out	0.102296	93410	469322	Steroidobacter
BP.kaiju.out	0.100581	91844	475966	Leptolinea
BP.kaiju.out	0.100249	91541	296051	Terrimonas
BP.kaiju.out	0.098834	90249	1866885	Mycolicibacterium
BP.kaiju.out	0.097461	88995	2651583	Geomonas
BP.kaiju.out	0.096515	88131	1573806	Mariniphaga
BP.kaiju.out	0.096436	88059	68	Lysobacter
BP.kaiju.out	0.094455	86250	286130	Sulfuricurvum
BP.kaiju.out	0.093856	85703	120831	Dyadobacter
BP.kaiju.out	0.093558	85431	359407	Methylotenera
BP.kaiju.out	0.093156	85064	12916	Acidovorax
BP.kaiju.out	0.092623	84577	649461	Lacibacter
BP.kaiju.out	0.092369	84345	890	Desulfuromonas
BP.kaiju.out	0.090706	82827	2910589	Geotalea
BP.kaiju.out	0.090358	82509	1433993	Chryseolinea
BP.kaiju.out	0.090337	82490	149698	Massilia
BP.kaiju.out	0.089947	82134	1847	Pseudonocardia
BP.kaiju.out	0.088221	80558	314318	Prolixibacter
BP.kaiju.out	0.087170	79598	89966	Hymenobacter
BP.kaiju.out	0.086133	78651	429014	Desulfopila
BP.kaiju.out	0.085102	77710	1763	Mycobacterium
BP.kaiju.out	0.083868	76583	1840214	Lentimicrobium
BP.kaiju.out	0.083279	76045	1060	Rhodobacter
BP.kaiju.out	0.083136	75914	914	Nitrosomonas
BP.kaiju.out	0.082159	75022	427922	Desulfurivibrio
BP.kaiju.out	0.080956	73924	2807414	Anatilimnocola
BP.kaiju.out	0.079884	72945	1822464	Paraburkholderia
BP.kaiju.out	0.078787	71943	1254401	Sunxiuqinia
BP.kaiju.out	0.077583	70844	318147	Paucibacter
BP.kaiju.out	0.077554	70817	246875	Algoriphagus
BP.kaiju.out	0.077131	70431	2691417	Lacipirellula
BP.kaiju.out	0.076375	69741	33882	Microbacterium
BP.kaiju.out	0.076018	69415	1114981	Piscinibacter
BP.kaiju.out	0.074163	67721	29407	Rhodoplanes
BP.kaiju.out	0.073935	67513	115782	Trichlorobacter
BP.kaiju.out	0.072557	66254	323449	Pontibacter
BP.kaiju.out	0.071787	65551	173479	Gemmatimonas
BP.kaiju.out	0.071237	65049	33973	Acidobacterium
BP.kaiju.out	0.071115	64938	312063	Azohydromonas
BP.kaiju.out	0.070198	64100	1004303	Ferruginibacter
BP.kaiju.out	0.070181	64085	46913	Devosia
BP.kaiju.out	0.069443	63411	316612	Methylibium
BP.kaiju.out	0.069299	63279	2299	Desulfosarcina
BP.kaiju.out	0.069036	63039	32008	Burkholderia
BP.kaiju.out	0.068907	62921	2650923	Aestuariivirga
BP.kaiju.out	0.068357	62419	107	Spirosoma
BP.kaiju.out	0.065853	60133	196013	Caldimonas
BP.kaiju.out	0.065619	59919	682522	Ilumatobacter
BP.kaiju.out	0.065113	59457	281915	Curvibacter
BP.kaiju.out	0.064877	59241	475965	Levilinea
BP.kaiju.out	0.064584	58974	2883485	Geoanaerobacter
BP.kaiju.out	0.064540	58934	1573808	Mangrovibacterium
BP.kaiju.out	0.064111	58542	20	Phenylobacterium
BP.kaiju.out	0.063950	58395	2295	Desulfobacterium
BP.kaiju.out	0.063693	58160	88875	Ferribacterium
BP.kaiju.out	0.063463	57950	156973	Dysgonomonas
BP.kaiju.out	0.063217	57726	1303912	Desulfatitalea
BP.kaiju.out	0.063164	57677	838	Prevotella
BP.kaiju.out	0.062748	57297	28453	Sphingobacterium
BP.kaiju.out	0.062634	57193	1707	Cellulomonas
BP.kaiju.out	0.062598	57160	106589	Cupriavidus
BP.kaiju.out	0.060562	55301	125216	Roseomonas
BP.kaiju.out	0.060254	55020	1628153	Carboxylicivirga
BP.kaiju.out	0.060098	54878	186650	Microvirga
BP.kaiju.out	0.059471	54305	490567	Arenimonas
BP.kaiju.out	0.059176	54036	2855184	Oryzomonas
BP.kaiju.out	0.059083	53951	59732	Chryseobacterium
BP.kaiju.out	0.058517	53434	200670	Crenothrix
BP.kaiju.out	0.058375	53304	47	Archangium
BP.kaiju.out	0.057740	52724	1443919	Tabrizicola
BP.kaiju.out	0.057686	52675	665874	Limnohabitans
BP.kaiju.out	0.057489	52495	239759	Alistipes
BP.kaiju.out	0.056782	51850	18	Pelobacter
BP.kaiju.out	0.055873	51020	146936	Azonexus
BP.kaiju.out	0.055741	50899	141948	Thermomonas
BP.kaiju.out	0.055421	50607	1056	Thiocapsa
BP.kaiju.out	0.055189	50395	39643	Sorangium
BP.kaiju.out	0.054554	49815	47251	Leptolyngbya
BP.kaiju.out	0.053513	48865	1775685	Limisphaera
BP.kaiju.out	0.053375	48739	475961	Longilinea
BP.kaiju.out	0.052589	48021	475960	Bellilinea
BP.kaiju.out	0.051898	47390	1663	Arthrobacter
BP.kaiju.out	0.051839	47336	165695	Sphingobium
BP.kaiju.out	0.050967	46540	2803845	Usitatibacter
BP.kaiju.out	0.050957	46531	1734920	Pseudorhodoplanes
BP.kaiju.out	0.049879	45546	1344552	Noviherbaspirillum
BP.kaiju.out	0.049856	45525	33057	Thauera
BP.kaiju.out	0.048399	44195	85413	Bosea
BP.kaiju.out	0.048340	44141	335058	Pelomonas
BP.kaiju.out	0.047550	43420	391952	Aquincola
BP.kaiju.out	0.047358	43244	29526	Syntrophobacter
BP.kaiju.out	0.046916	42841	39840	Desulforhabdus
BP.kaiju.out	0.046717	42659	1386	Bacillus
BP.kaiju.out	0.046026	42028	1649501	Tangfeifania
BP.kaiju.out	0.045790	41812	1434046	Sphingorhabdus
BP.kaiju.out	0.045542	41586	53460	Nakamurella
BP.kaiju.out	0.045508	41555	2038697	Williamwhitmania
BP.kaiju.out	0.045020	41109	60892	Desulfobacca
BP.kaiju.out	0.045004	41095	407	Methylobacterium
BP.kaiju.out	0.044353	40500	83614	Luteimonas
BP.kaiju.out	0.043573	39788	354354	Niastella
BP.kaiju.out	0.043503	39724	1865	Actinoplanes
BP.kaiju.out	0.043379	39611	1648491	Aquihabitans
BP.kaiju.out	0.043262	39504	75	Caulobacter
BP.kaiju.out	0.043032	39294	34102	Sphaerotilus
BP.kaiju.out	0.042196	38531	396811	Fulvivirga
BP.kaiju.out	0.042104	38447	469	Acinetobacter
BP.kaiju.out	0.041880	38242	445219	Reyranella
BP.kaiju.out	0.041835	38201	35798	Nitrosospira
BP.kaiju.out	0.041368	37775	191	Azospirillum
BP.kaiju.out	0.040549	37027	2100741	Oleiharenicola
BP.kaiju.out	0.039937	36468	379899	Niabella
BP.kaiju.out	0.039564	36127	662	Vibrio
BP.kaiju.out	0.039307	35893	299566	Adhaeribacter
BP.kaiju.out	0.039268	35857	2698688	Paraflavitalea
BP.kaiju.out	0.039243	35834	295577	Chthoniobacter
BP.kaiju.out	0.039136	35736	2768684	Terricaulis
BP.kaiju.out	0.039003	35615	504481	Sediminibacterium
BP.kaiju.out	0.038969	35584	358023	Lutibacter
BP.kaiju.out	0.038930	35548	763439	Caenimonas
BP.kaiju.out	0.038929	35547	398041	Flavisolibacter
BP.kaiju.out	0.038920	35539	2060722	Labilibaculum
BP.kaiju.out	0.038625	35270	556257	Pseudolabrys
BP.kaiju.out	0.038604	35251	1080709	Methanomassiliicoccus
BP.kaiju.out	0.038567	35217	55	Polyangium
BP.kaiju.out	0.038441	35102	2807511	Humisphaera
BP.kaiju.out	0.038313	34985	146937	Azospira
BP.kaiju.out	0.038206	34887	872	Desulfovibrio
BP.kaiju.out	0.038155	34841	1538468	Povalibacter
BP.kaiju.out	0.038035	34731	1177	Nostoc
BP.kaiju.out	0.037822	34537	1434028	Ornatilinea
BP.kaiju.out	0.037602	34336	2745	Halomonas
BP.kaiju.out	0.037261	34024	460073	Segetibacter
BP.kaiju.out	0.037124	33899	1191515	Ornithinibacter
BP.kaiju.out	0.037014	33799	105	Runella
BP.kaiju.out	0.036978	33766	453161	Candidatus Nitrotoga
BP.kaiju.out	0.036892	33687	106633	Thioalkalivibrio
BP.kaiju.out	0.036669	33484	1827	Rhodococcus
BP.kaiju.out	0.036565	33389	265488	Rhodopirellula
BP.kaiju.out	0.036415	33252	1961799	Lacunisphaera
BP.kaiju.out	0.036393	33232	1744881	Sulfuricaulis
BP.kaiju.out	0.036339	33182	1217416	Halioglobus
BP.kaiju.out	0.036219	33073	1410680	Methyloglobulus
BP.kaiju.out	0.036130	32992	252356	Maribacter
BP.kaiju.out	0.035870	32754	48463	Prosthecobacter
BP.kaiju.out	0.035851	32737	1970195	Ancylomarina
BP.kaiju.out	0.035769	32662	312278	Emticicia
BP.kaiju.out	0.035767	32660	138117	Quatrionicoccus
BP.kaiju.out	0.035625	32530	2795426	Novipirellula
BP.kaiju.out	0.035306	32239	53392	Thiodictyon
BP.kaiju.out	0.034987	31948	2160	Methanobacterium
BP.kaiju.out	0.034472	31478	233191	Caldilinea
BP.kaiju.out	0.034355	31371	111500	Muricauda
BP.kaiju.out	0.034337	31354	349	Zoogloea
BP.kaiju.out	0.034227	31254	45654	Desulfonema
BP.kaiju.out	0.034087	31126	1400859	Candidatus Contendobacter
BP.kaiju.out	0.033632	30711	59738	Marinilabilia
BP.kaiju.out	0.033617	30697	1873	Micromonospora
