# Constructed from biom file					
OTU_ID	BHBS	BPS	ISED	LBS	taxa
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.001168452	0.00035791	0.00127751	0	Pseudomonadaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.002336904	0.001431639	0.008836114	0.00318408	Moraxellaceae
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;__	0	0.001840679	0.001261132	0	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;__
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae	0	0.00076695	0.000311188	0	Sulfurospirillaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0	0	0.001281605	0	Planococcaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Sedimentibacteraceae	0	0.00015339	0.000118743	0	Sedimentibacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	0	0.139022395	0.078788003	0	Rhodocyclaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae	0.001071081	0.003374578	0.003492681	0	Hungateiclostridiaceae
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	0.003213242	0.01835566	0.017983417	0.058109453	Spirochaetaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0	0	0.000155594	0	Ruminococcaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0	0.00020452	0.006645511	0	Clostridiaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0	0.00020452	0.000380796	0	Oscillospiraceae
d__Bacteria;p__Thermodesulfobiota;c__Thermodesulfobiia;o__Thermodesulfobiales;f__Thermodesulfobiaceae	0.000292113	0	0	0	Thermodesulfobiaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caloramatoraceae	0	0	0.000257959	0	Caloramatoraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae	0	0.008589835	0.017045757	0.002587065	Steroidobacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0	0.022037018	0.031814925	0.019303483	Comamonadaceae
d__Bacteria;p__Firmicutes;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae	0	0	7.37E-05	0	Desulfitobacteriaceae
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0	0	0.000307094	0	Desulfovibrionaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae	0	0.026383066	0.01962944	0	Arenicellaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0	0.00010226	0.00078616	0	Caulobacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae	0	0.032058493	0.013458901	0	Hydrogenophilaceae
d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__Kryptoniaceae	0	0.00066469	0	0	Kryptoniaceae
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	0	0.053226301	0.046059986	0.040597015	Geobacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84	0	0.012731363	0.01237793	0	SC-I-84
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae	0	0.028786174	0.013618589	0	Desulfatiglandaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17	0	0.061509357	0.038538233	0.066069652	Bacteroidetes_vadinHA17
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Run-SP154;f__Run-SP154	0	0.007209326	0.004622786	0	Run-SP154
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0	0.106248083	0.04986795	0.012935323	Methylomonadaceae
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae	0	0.001278249	0.066401884	0	Sulfurimonadaceae
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured	0	0.003885878	0.007976251	0.00039801	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae	0	0.012424583	0.011505784	0.003383085	Syntrophobacteraceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales	0.001460565	0	0	0	Izemoplasmatales
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae	0	0	0.003742451	0	Methanoregulaceae
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1	0	0.004346048	0.001817996	0.032437811	Marine_Benthic_Group_D_and_DHVEG-1
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	0	0.003579098	0.004549084	0.020298507	Anaeromyxobacteraceae
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast	0.025511198	0.007771756	0.010932542	0.006169154	Chloroplast
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae	0	0.006749156	0.005085474	0.004378109	Rubritaleaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	0	0.003374578	0.006035418	0.00238806	Sutterellaceae
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__LD-RB-34	0	0.002198589	0.000855768	0	LD-RB-34
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SB-5	0	0.020349729	0.013286928	0.021094527	SB-5
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96	0	0	0.004229706	0	KD4-96
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	0	0.001533899	0.003533627	0	Flavobacteriaceae
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1)	0.095813048	0	3.28E-05	0	Acidobacteriaceae_(Subgroup_1)
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	0	0.020094079	0.041379875	0.041393035	Anaerolineaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae	0	0.01763984	0.010486232	0	Gallionellaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0	0	3.28E-05	0	Tannerellaceae
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured	0	0.006953676	0.006322039	0.003781095	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0	0.002096329	0.0024199	0.000995025	Hyphomicrobiaceae
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0.001227119	0.000565053	0	Methanobacteriaceae
d__Bacteria;p__Nitrospinota;c__P9X2b3D02;o__P9X2b3D02;f__P9X2b3D02	0	0.003988138	0.004336165	0	P9X2b3D02
d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales	0	0.00020452	0.009880233	0.009353234	Aminicenantales
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae	0.140019474	0	0.000933565	0	Rhodanobacteraceae
